timestamp,date,time,hour,symbol,action,confidence,trend,entry_price,sl_price,tp_price,risk_reward,reasoning,entry_quality,market_price,atr_14,rsi_14,ema_trend,triggered,executed,skip_reason
2026-02-10T23:18:19.435423,2026-02-10,23:18:19,23,XAUUSD,SELL,100.0,unknown,5028.0,5032.0,5013.0,0,"GPT V3: VERY_HIGH accuracy, GOOD quality, lot 1.50x",unknown,5028.360000000001,0,0,unknown,True,False,
2026-02-11T01:12:07.054188,2026-02-11,01:12:07,1,XAUUSD,BUY,100.0,unknown,5035.18,5031.18,5050.18,0,"GPT V3: VERY_HIGH accuracy, GOOD quality, lot 1.50x",unknown,5034.68,0,0,unknown,True,False,
2026-02-11T01:25:12.477637,2026-02-11,01:25:12,1,XAUUSD,BUY,100.0,unknown,5047.94,5043.94,5062.94,0,"GPT V3: VERY_HIGH accuracy, GOOD quality, lot 1.50x",unknown,5047.815,0,0,unknown,True,False,
2026-02-11T01:51:27.103408,2026-02-11,01:51:27,1,XAUUSD,BUY,100.0,unknown,5041.57,5037.57,5056.57,0,"GPT V3: VERY_HIGH accuracy, GOOD quality, lot 1.50x",unknown,5042.120000000001,0,0,unknown,True,False,
2026-02-11T02:26:17.099055,2026-02-11,02:26:17,2,XAUUSD,SELL,100.0,unknown,5038.56,5042.56,5023.56,0,"GPT V3: VERY_HIGH accuracy, GOOD quality, lot 1.50x",unknown,5038.925,0,0,unknown,True,False,
2026-02-11T02:41:16.578206,2026-02-11,02:41:16,2,XAUUSD,BUY,100.0,unknown,5044.76,5040.76,5059.76,0,"GPT V3: VERY_HIGH accuracy, GOOD quality, lot 1.50x",unknown,5044.780000000001,0,0,unknown,True,False,
2026-02-11T02:50:01.490385,2026-02-11,02:50:01,2,XAUUSD,SELL,100.0,unknown,5035.95,5039.95,5020.95,0,"GPT V3: VERY_HIGH accuracy, GOOD quality, lot 1.50x",unknown,5035.969999999999,0,0,unknown,True,False,
2026-02-11T03:16:56.266688,2026-02-11,03:16:56,3,XAUUSD,BUY,100.0,unknown,5044.18,5040.18,5059.18,0,"GPT V3: VERY_HIGH accuracy, GOOD quality, lot 1.50x",unknown,5044.525,0,0,unknown,True,False,
2026-02-11T03:32:02.962528,2026-02-11,03:32:02,3,XAUUSD,SELL,100.0,unknown,5037.49,5041.49,5022.49,0,"GPT V3: VERY_HIGH accuracy, GOOD quality, lot 1.50x",unknown,5034.905000000001,0,0,unknown,True,False,
2026-02-11T03:56:03.567866,2026-02-11,03:56:03,3,XAUUSD,BUY,100.0,unknown,5050.3,5046.3,5065.3,0,"GPT V3: VERY_HIGH accuracy, GOOD quality, lot 1.50x",unknown,5050.41,0,0,unknown,True,False,
2026-02-11T04:11:07.151238,2026-02-11,04:11:07,4,XAUUSD,SELL,100.0,unknown,5039.94,5043.94,5024.94,0,"GPT V3: VERY_HIGH accuracy, GOOD quality, lot 1.50x",unknown,5039.535,0,0,unknown,True,False,
2026-02-11T04:21:31.357294,2026-02-11,04:21:31,4,XAUUSD,SELL,100.0,unknown,5043.93,5047.93,5028.93,0,"GPT V3: VERY_HIGH accuracy, GOOD quality, lot 1.50x",unknown,5044.0599999999995,0,0,unknown,True,False,
2026-02-11T04:58:17.750761,2026-02-11,04:58:17,4,XAUUSD,BUY,100.0,unknown,5054.12,5050.12,5069.12,0,"GPT V3: VERY_HIGH accuracy, GOOD quality, lot 1.50x",unknown,5054.385,0,0,unknown,True,False,
2026-02-11T05:31:56.110368,2026-02-11,05:31:56,5,XAUUSD,BUY,100.0,unknown,5059.29,5055.29,5074.29,0,"GPT V3: VERY_HIGH accuracy, GOOD quality, lot 1.50x",unknown,5059.325,0,0,unknown,True,False,
2026-02-11T07:05:16.119897,2026-02-11,07:05:16,7,XAUUSD,SELL,100.0,unknown,5045.0,5049.0,5030.0,0,"GPT V3: VERY_HIGH accuracy, GOOD quality, lot 1.50x",unknown,5045.425,0,0,unknown,True,False,
2026-02-11T07:41:33.403546,2026-02-11,07:41:33,7,XAUUSD,SELL,100.0,unknown,5063.89,5067.89,5048.89,0,"GPT V3: VERY_HIGH accuracy, GOOD quality, lot 1.50x",unknown,5063.915,0,0,unknown,True,False,
2026-02-11T07:56:32.996553,2026-02-11,07:56:32,7,XAUUSD,SELL,100.0,unknown,5048.76,5052.76,5033.76,0,"GPT V3: VERY_HIGH accuracy, GOOD quality, lot 1.50x",unknown,5048.48,0,0,unknown,True,False,
2026-02-11T08:24:12.452047,2026-02-11,08:24:12,8,XAUUSD,SELL,100.0,unknown,5056.0,5060.0,5041.0,0,"GPT V3: VERY_HIGH accuracy, GOOD quality, lot 1.50x",unknown,5056.495,0,0,unknown,True,False,
2026-02-11T09:14:44.445939,2026-02-11,09:14:44,9,XAUUSD,BUY,100.0,unknown,5059.15,5055.15,5074.15,0,"GPT V3: VERY_HIGH accuracy, GOOD quality, lot 1.50x",unknown,5058.85,0,0,unknown,True,False,
2026-02-11T09:29:49.143469,2026-02-11,09:29:49,9,XAUUSD,BUY,100.0,unknown,5060.6,5056.6,5075.6,0,"GPT V3: VERY_HIGH accuracy, GOOD quality, lot 1.50x",unknown,5060.385,0,0,unknown,True,False,
2026-02-11T09:46:43.638342,2026-02-11,09:46:43,9,XAUUSD,SELL,100.0,unknown,5054.0,5058.0,5039.0,0,"GPT V3: VERY_HIGH accuracy, GOOD quality, lot 1.50x",unknown,5054.245,0,0,unknown,True,False,
2026-02-11T09:48:44.800357,2026-02-11,09:48:44,9,XAUUSD,BUY,100.0,unknown,5052.25,5048.25,5067.25,0,"GPT V3: VERY_HIGH accuracy, GOOD quality, lot 1.50x",unknown,5051.969999999999,0,0,unknown,True,False,
2026-02-11T09:50:56.168538,2026-02-11,09:50:56,9,XAUUSD,SELL,100.0,unknown,5052.86,5056.86,5037.86,0,"GPT V3: VERY_HIGH accuracy, GOOD quality, lot 1.50x",unknown,5052.695,0,0,unknown,True,False,
2026-02-11T09:51:35.638221,2026-02-11,09:51:35,9,XAUUSD,BUY,100.0,unknown,5053.87,5049.87,5068.87,0,"GPT V3: VERY_HIGH accuracy, GOOD quality, lot 1.50x",unknown,5053.48,0,0,unknown,True,False,
2026-02-11T10:06:36.389443,2026-02-11,10:06:36,10,XAUUSD,SELL,100.0,unknown,5058.0,5062.0,5043.0,0,"GPT V3: VERY_HIGH accuracy, GOOD quality, lot 1.50x",unknown,5057.264999999999,0,0,unknown,True,False,
2026-02-11T10:16:27.108130,2026-02-11,10:16:27,10,XAUUSD,SELL,100.0,unknown,5051.0,5055.0,5036.0,0,"GPT V3: VERY_HIGH accuracy, GOOD quality, lot 1.50x",unknown,5051.41,0,0,unknown,True,False,
2026-02-11T10:25:47.921080,2026-02-11,10:25:47,10,XAUUSD,SELL,100.0,unknown,5054.68,5058.68,5039.68,0,"GPT V3: VERY_HIGH accuracy, GOOD quality, lot 1.50x",unknown,5054.1849999999995,0,0,unknown,True,False,
2026-02-11T10:44:59.782338,2026-02-11,10:44:59,10,XAUUSD,SELL,100.0,unknown,5052.0,5056.0,5037.0,0,"GPT V3: VERY_HIGH accuracy, GOOD quality, lot 1.50x",unknown,5052.35,0,0,unknown,True,False,
2026-02-11T11:31:02.315984,2026-02-11,11:31:02,11,XAUUSD,SELL,100.0,unknown,5054.73,5058.73,5039.73,0,"GPT V3: VERY_HIGH accuracy, GOOD quality, lot 1.50x",unknown,5054.6,0,0,unknown,True,False,
2026-02-11T11:48:24.797105,2026-02-11,11:48:24,11,XAUUSD,BUY,100.0,unknown,5069.48,5065.48,5084.48,0,"GPT V3: VERY_HIGH accuracy, GOOD quality, lot 1.50x",unknown,5069.09,0,0,unknown,True,False,
2026-02-11T12:03:16.717092,2026-02-11,12:03:16,12,XAUUSD,SELL,100.0,unknown,5065.0,5069.0,5050.0,0,"GPT V3: VERY_HIGH accuracy, GOOD quality, lot 1.50x",unknown,5064.45,0,0,unknown,True,False,
2026-02-11T12:27:41.453538,2026-02-11,12:27:41,12,XAUUSD,BUY,100.0,unknown,5069.0,5065.0,5084.0,0,"GPT V3: VERY_HIGH accuracy, GOOD quality, lot 1.50x",unknown,5069.425,0,0,unknown,True,False,
