instrument,entry_time,exit_time,direction,entry_price,exit_price,sl,tp,lot_size,pnl,exit_reason,balance
EURUSD,2023-01-03 01:15:00,2023-01-03 01:30:00,BUY,1.06651,1.06705,1.0661277142857142,1.0668245714285716,0.02,1.0799999999999699,TP,101.07999999999997
XAUUSD,2023-01-04 01:00:00,2023-01-04 03:30:00,SELL,1838.48,1842.22,1840.8614285714286,1834.317142857143,0.01,-3.810000000000009,SL,97.26999999999997
XAUUSD,2023-01-04 14:00:00,2023-01-04 15:15:00,SELL,1858.12,1859.17,1858.12,1850.9935714285714,0.01,-1.120000000000182,SL,96.14999999999979
XAUUSD,2023-01-05 05:00:00,2023-01-05 08:00:00,SELL,1855.18,1855.32,1855.18,1849.6071428571431,0.01,-0.20999999999987268,SL,95.93999999999993
XAUUSD,2023-01-05 09:00:00,2023-01-05 10:00:00,SELL,1853.07,1847.04,1853.07,1847.8421428571428,0.01,5.959999999999972,TP,101.89999999999989
EURUSD,2023-01-05 10:00:00,2023-01-05 13:15:00,BUY,1.06119,1.06055,1.06119,1.063419714285714,0.01,-0.6399999999999739,SL,101.25999999999992
EURUSD,2023-01-09 23:45:00,2023-01-10 02:15:00,SELL,1.07303,1.07229,1.0736101428571427,1.0723197142857146,0.01,0.7399999999999629,TP,101.99999999999989
EURUSD,2023-01-11 04:30:00,2023-01-11 04:45:00,SELL,1.0733599999999999,1.07268,1.0739130000000001,1.0727039999999997,0.01,0.679999999999792,TP,102.67999999999968
EURUSD,2023-01-16 08:00:00,2023-01-16 08:15:00,SELL,1.08564,1.08486,1.0861891428571429,1.0849917142857144,0.01,0.7800000000000029,TP,103.45999999999968
XAUUSD,2023-01-17 15:30:00,2023-01-17 19:15:00,BUY,1913.01,1907.13,1909.1542857142856,1920.1214285714286,0.01,-5.949999999999882,SL,97.50999999999979
XAUUSD,2023-01-17 21:30:00,2023-01-18 05:15:00,SELL,1909.04,1902.18,1909.04,1902.4835714285712,0.01,6.7899999999999,TP,104.2999999999997
EURUSD,2023-01-19 09:00:00,2023-01-19 09:30:00,BUY,1.07942,1.08036,1.0789672857142858,1.0798754285714283,0.02,1.8799999999998818,TP,106.17999999999958
EURUSD,2023-01-19 14:00:00,2023-01-19 16:00:00,SELL,1.08216,1.0806,1.08216,1.0806308571428578,0.01,1.5600000000000058,TP,107.73999999999958
EURUSD,2023-01-19 16:15:00,2023-01-19 16:45:00,SELL,1.08195,1.08104,1.0825235714285715,1.0812528571428572,0.01,0.9099999999999665,TP,108.64999999999955
EURUSD,2023-01-19 16:45:00,2023-01-19 18:45:00,SELL,1.08089,1.08092,1.08089,1.078291428571429,0.01,-0.030000000000196536,SL,108.61999999999935
XAUUSD,2023-01-24 15:00:00,2023-01-24 16:00:00,SELL,1936.32,1930.18,1936.32,1930.712857142857,0.01,6.069999999999872,TP,114.68999999999923
EURUSD,2023-01-25 09:00:00,2023-01-25 09:30:00,SELL,1.09056,1.08942,1.0912301428571427,1.0896697142857148,0.01,1.1399999999999189,TP,115.82999999999915
EURUSD,2023-01-25 18:15:00,2023-01-26 01:00:00,BUY,1.0889600000000002,1.09191,1.0889600000000002,1.0918737142857147,0.01,2.949999999999786,TP,118.77999999999894
EURUSD,2023-01-26 16:00:00,2023-01-26 16:45:00,SELL,1.09012,1.08868,1.091034,1.088742,0.01,1.4399999999998858,TP,120.21999999999882
EURUSD,2023-01-27 04:00:00,2023-01-27 04:15:00,SELL,1.0886699999999998,1.08814,1.0891092857142857,1.0882414285714284,0.02,1.0599999999993948,TP,121.27999999999821
XAUUSD,2023-01-27 04:00:00,2023-01-27 04:45:00,SELL,1929.96,1925.66,1929.96,1925.9385714285715,0.01,4.229999999999954,TP,125.50999999999817
EURUSD,2023-01-27 10:00:00,2023-01-27 10:30:00,BUY,1.0876400000000002,1.0885,1.0872730000000002,1.087924,0.03,2.5799999999995826,TP,128.08999999999776
EURUSD,2023-01-30 15:00:00,2023-01-30 16:15:00,SELL,1.09012,1.08848,1.09012,1.0885962857142857,0.01,1.6400000000000858,TP,129.72999999999786
EURUSD,2023-01-30 17:00:00,2023-01-30 17:45:00,SELL,1.08924,1.08708,1.08924,1.0879157142857145,0.01,2.1599999999999397,TP,131.8899999999978
XAUUSD,2023-01-31 03:00:00,2023-01-31 05:15:00,BUY,1923.98,1923.84,1923.98,1926.9150000000002,0.01,-0.21000000000010005,SL,131.6799999999977
EURUSD,2023-02-01 03:00:00,2023-02-01 06:00:00,SELL,1.08591,1.0866,1.0864595714285714,1.0852608571428572,0.02,-1.3800000000001589,SL,130.29999999999754
